location,race/ethnicity,age,percent ,total_population
06,Latino,NA,0.403,39237836
06,White,NA,0.347,39237836
06,Asian,NA,0.163,39237836
06,Black,NA,0.065,39237836
06,Other,NA,0.022,39237836
06,NA,0-17,0.228,39237836
06,NA,18-64,0.628,39237836
06,NA ,65+,0.144,39237836
06,Latino,0-17,0.119,39237836
06,White,0-17,0.052,39237836
06,Asian,0-17,0.028,39237836
06,Black,0-17,0.010,39237836
06,Other,0-17,0.018,39237836
06,Latino,18-64,0.253,39237836
06,White,18-64,0.219,39237836
06,Asian,18-64,0.111,39237836
06,Black,18-64,0.055,39237836
06,Other,18-64,0.003,39237836
06,Latino,65+,0.032,39237836
06,White,65+,0.076,39237836
06,Asian,65+,0.024,39237836
06,Black,65+,0.007,39237836
06,Other,65+,0.001,39237836
