"","fips","date","value"
"1","06","2020-01-25",0
"2","06","2020-02-01",3
"3","06","2020-02-08",3
"4","06","2020-02-15",2
"5","06","2020-02-22",0
"6","06","2020-02-29",3
"7","06","2020-03-07",81
"8","06","2020-03-14",241
"9","06","2020-03-21",1061
"10","06","2020-03-28",6118
"11","06","2020-04-04",5320
"12","06","2020-04-11",8627
"13","06","2020-04-18",9181
"14","06","2020-04-25",11790
"15","06","2020-05-02",11451
"16","06","2020-05-09",13378
"17","06","2020-05-16",12208
"18","06","2020-05-23",14077
"19","06","2020-05-30",17986
"20","06","2020-06-06",18378
"21","06","2020-06-13",20765
"22","06","2020-06-20",26769
"23","06","2020-06-27",39932
"24","06","2020-07-04",49494
"25","06","2020-07-11",61250
"26","06","2020-07-18",62557
"27","06","2020-07-25",66880
"28","06","2020-08-01",57986
"29","06","2020-08-08",46413
"30","06","2020-08-15",65502
"31","06","2020-08-22",41872
"32","06","2020-08-29",36280
"33","06","2020-09-05",32449
"34","06","2020-09-12",23025
"35","06","2020-09-19",24011
"36","06","2020-09-26",24654
"37","06","2020-10-03",23631
"38","06","2020-10-10",23439
"39","06","2020-10-17",21876
"40","06","2020-10-24",31733
"41","06","2020-10-31",29834
"42","06","2020-11-07",41873
"43","06","2020-11-14",57118
"44","06","2020-11-21",89098
"45","06","2020-11-28",101640
"46","06","2020-12-05",155691
"47","06","2020-12-12",225121
"48","06","2020-12-19",310548
"49","06","2020-12-26",277574
"50","06","2021-01-02",282372
"51","06","2021-01-09",295678
"52","06","2021-01-16",278911
"53","06","2021-01-23",172340
"54","06","2021-01-30",139182
"55","06","2021-02-06",98940
"56","06","2021-02-13",70839
"57","06","2021-02-20",46798
"58","06","2021-02-27",38740
"59","06","2021-03-06",31349
"60","06","2021-03-13",24392
"61","06","2021-03-20",20587
"62","06","2021-03-27",18753
"63","06","2021-04-03",18793
"64","37","2020-01-25",0
"65","37","2020-02-01",0
"66","37","2020-02-08",0
"67","37","2020-02-15",0
"68","37","2020-02-22",0
"69","37","2020-02-29",0
"70","37","2020-03-07",2
"71","37","2020-03-14",30
"72","37","2020-03-21",255
"73","37","2020-03-28",818
"74","37","2020-04-04",1530
"75","37","2020-04-11",1900
"76","37","2020-04-18",1989
"77","37","2020-04-25",2405
"78","37","2020-05-02",3000
"79","37","2020-05-09",3073
"80","37","2020-05-16",3752
"81","37","2020-05-23",4569
"82","37","2020-05-30",5413
"83","37","2020-06-06",6985
"84","37","2020-06-13",8574
"85","37","2020-06-20",8714
"86","37","2020-06-27",9727
"87","37","2020-07-04",11043
"88","37","2020-07-11",12713
"89","37","2020-07-18",14002
"90","37","2020-07-25",13633
"91","37","2020-08-01",12953
"92","37","2020-08-08",11147
"93","37","2020-08-15",9793
"94","37","2020-08-22",10869
"95","37","2020-08-29",11488
"96","37","2020-09-05",10318
"97","37","2020-09-12",8250
"98","37","2020-09-19",9321
"99","37","2020-09-26",9508
"100","37","2020-10-03",9112
"101","37","2020-10-10",12866
"102","37","2020-10-17",13973
"103","37","2020-10-24",14567
"104","37","2020-10-31",16343
"105","37","2020-11-07",16610
"106","37","2020-11-14",17873
"107","37","2020-11-21",23143
"108","37","2020-11-28",25697
"109","37","2020-12-05",30594
"110","37","2020-12-12",41224
"111","37","2020-12-19",42492
"112","37","2020-12-26",41662
"113","37","2021-01-02",44507
"114","37","2021-01-09",55918
"115","37","2021-01-16",53471
"116","37","2021-01-23",44890
"117","37","2021-01-30",39911
"118","37","2021-02-06",38894
"119","37","2021-02-13",27203
"120","37","2021-02-20",21372
"121","37","2021-02-27",18452
"122","37","2021-03-06",13628
"123","37","2021-03-13",10539
"124","37","2021-03-20",12548
"125","37","2021-03-27",10265
"126","37","2021-04-03",10631
